variant_id,provider,model,f1_tarife,f1_faq,f1_felder,f1_karten,f1_kontakt,f1_anbieter,macro_f1_score
control,openai,gpt-4.1,0.800,0.000,1.000,0.333,0.000,1.000,0.522
control,openai,gpt-4.1-mini,0.750,0.000,1.000,0.571,0.000,1.000,0.554
control,openai,gpt-5,0.800,0.000,1.000,0.571,0.000,1.000,0.562
control,openai,gpt-5,0.800,0.000,1.000,0.000,0.000,1.000,0.467
control,openai,gpt-5-mini,0.968,0.421,1.000,1.000,0.000,1.000,0.731
control,openai,gpt-5-mini,0.800,0.421,1.000,1.000,0.000,1.000,0.704
control,claude,claude-haiku-4-5,0.857,0.000,1.000,0.462,0.000,1.000,0.553
control,claude,claude-sonnet-4-5,0.500,0.000,1.000,0.000,0.000,1.000,0.417
control,gemini,gemini-2.5-flash,0.800,0.000,1.000,0.000,0.000,1.000,0.467
control,gemini,gemini-2.5-flash,0.800,0.000,1.000,0.000,0.000,1.000,0.467
control,gemini,gemini-2.5-pro,0.800,0.000,1.000,0.000,0.000,1.000,0.467
control,gemini,gemini-2.5-pro,0.800,0.000,1.000,0.000,0.000,1.000,0.467
jsonld,openai,gpt-4.1,0.857,1.000,1.000,0.000,0.000,1.000,0.643
jsonld,openai,gpt-4.1-mini,1.000,1.000,1.000,0.667,0.100,1.000,0.794
jsonld,openai,gpt-5,1.000,1.000,1.000,0.000,0.000,1.000,0.667
jsonld,openai,gpt-5,1.000,1.000,1.000,0.000,0.000,1.000,0.667
jsonld,openai,gpt-5-mini,0.682,1.000,1.000,0.909,0.000,1.000,0.765
jsonld,openai,gpt-5-mini,1.000,1.000,1.000,0.750,0.000,1.000,0.792
jsonld,claude,claude-haiku-4-5,1.000,1.000,1.000,0.667,0.000,1.000,0.778
jsonld,claude,claude-sonnet-4-5,1.000,1.000,0.909,0.000,0.000,1.000,0.652
jsonld,gemini,gemini-2.5-flash,1.000,1.000,1.000,1.000,0.000,1.000,0.833
jsonld,gemini,gemini-2.5-flash,1.000,1.000,1.000,0.000,0.000,1.000,0.667
jsonld,gemini,gemini-2.5-pro,1.000,1.000,1.000,0.000,0.000,1.000,0.667
jsonld,gemini,gemini-2.5-pro,1.000,1.000,1.000,0.000,0.000,1.000,0.667
semantic,openai,gpt-4.1,0.500,0.000,1.000,0.000,0.000,1.000,0.417
semantic,openai,gpt-4.1-mini,0.500,0.000,1.000,0.667,0.000,1.000,0.528
semantic,openai,gpt-5,0.500,0.000,1.000,0.750,0.000,1.000,0.542
semantic,openai,gpt-5,0.500,0.000,1.000,0.000,0.000,1.000,0.417
semantic,openai,gpt-5-mini,0.846,0.938,1.000,1.000,0.000,1.000,0.797
semantic,openai,gpt-5-mini,0.571,0.000,1.000,1.000,0.000,1.000,0.595
semantic,claude,claude-haiku-4-5,0.500,0.000,1.000,1.000,0.000,1.000,0.583
semantic,claude,claude-sonnet-4-5,0.500,0.000,0.909,0.000,0.000,1.000,0.402
semantic,gemini,gemini-2.5-flash,0.500,0.000,0.909,0.000,0.000,1.000,0.402
semantic,gemini,gemini-2.5-flash,0.500,0.000,1.000,0.000,0.000,1.000,0.417
semantic,gemini,gemini-2.5-pro,0.500,0.000,1.000,0.333,0.000,1.000,0.472
semantic,gemini,gemini-2.5-pro,0.500,0.000,0.929,0.000,0.000,1.000,0.405
aria,openai,gpt-4.1,0.750,1.000,1.000,1.000,1.000,1.000,0.958
aria,openai,gpt-4.1-mini,0.968,1.000,1.000,1.000,1.000,1.000,0.995
aria,openai,gpt-5,1.000,1.000,1.000,1.000,1.000,1.000,1.000
aria,openai,gpt-5,1.000,1.000,1.000,1.000,1.000,1.000,1.000
aria,openai,gpt-5-mini,0.732,1.000,1.000,1.000,1.000,1.000,0.955
aria,openai,gpt-5-mini,1.000,0.968,1.000,1.000,1.000,1.000,0.995
aria,claude,claude-haiku-4-5,0.857,1.000,1.000,1.000,1.000,1.000,0.976
aria,claude,claude-sonnet-4-5,1.000,1.000,1.000,1.000,1.000,1.000,1.000
aria,gemini,gemini-2.5-flash,0.952,1.000,1.000,1.000,1.000,1.000,0.992
aria,gemini,gemini-2.5-flash,0.732,1.000,1.000,1.000,1.000,1.000,0.955
aria,gemini,gemini-2.5-pro,0.882,1.000,1.000,1.000,1.000,1.000,0.980
aria,gemini,gemini-2.5-pro,1.000,1.000,1.000,1.000,1.000,1.000,1.000
noscript,openai,gpt-4.1,1.000,0.857,1.000,1.000,1.000,1.000,0.976
noscript,openai,gpt-4.1-mini,1.000,0.857,1.000,1.000,1.000,1.000,0.976
noscript,openai,gpt-5,0.909,0.857,1.000,1.000,1.000,1.000,0.961
noscript,openai,gpt-5,1.000,0.857,1.000,1.000,1.000,1.000,0.976
noscript,openai,gpt-5-mini,0.750,0.857,1.000,1.000,1.000,1.000,0.935
noscript,openai,gpt-5-mini,0.968,1.000,1.000,1.000,1.000,1.000,0.995
noscript,claude,claude-haiku-4-5,0.938,0.857,1.000,1.000,1.000,1.000,0.966
noscript,claude,claude-sonnet-4-5,1.000,0.857,0.909,1.000,1.000,1.000,0.961
noscript,gemini,gemini-2.5-flash,1.000,0.857,0.929,1.000,1.000,1.000,0.964
noscript,gemini,gemini-2.5-flash,0.938,0.857,1.000,1.000,1.000,1.000,0.966
noscript,gemini,gemini-2.5-pro,1.000,0.857,1.000,1.000,1.000,1.000,0.976
noscript,gemini,gemini-2.5-pro,1.000,0.857,1.000,1.000,1.000,1.000,0.976
dsd,openai,gpt-4.1,1.000,0.857,1.000,1.000,1.000,1.000,0.976
dsd,openai,gpt-4.1-mini,1.000,0.857,1.000,1.000,1.000,1.000,0.976
dsd,openai,gpt-5,1.000,0.857,1.000,1.000,1.000,1.000,0.976
dsd,openai,gpt-5,1.000,0.857,1.000,1.000,1.000,1.000,0.976
dsd,openai,gpt-5-mini,0.833,0.857,1.000,1.000,1.000,1.000,0.948
dsd,openai,gpt-5-mini,1.000,0.857,1.000,1.000,1.000,1.000,0.976
dsd,claude,claude-haiku-4-5,1.000,0.857,1.000,1.000,1.000,1.000,0.976
dsd,claude,claude-sonnet-4-5,1.000,0.857,0.909,1.000,1.000,1.000,0.961
dsd,gemini,gemini-2.5-flash,1.000,0.857,0.947,1.000,1.000,1.000,0.967
dsd,gemini,gemini-2.5-flash,0.938,0.857,1.000,1.000,1.000,1.000,0.966
dsd,gemini,gemini-2.5-pro,1.000,0.857,1.000,1.000,1.000,1.000,0.976
dsd,gemini,gemini-2.5-pro,1.000,0.857,1.000,1.000,1.000,1.000,0.976
microdata,openai,gpt-4.1,0.750,1.000,1.000,1.000,1.000,1.000,0.958
microdata,openai,gpt-4.1-mini,0.870,1.000,0.983,1.000,1.000,1.000,0.975
microdata,openai,gpt-5,1.000,1.000,1.000,1.000,1.000,1.000,1.000
microdata,openai,gpt-5,1.000,1.000,1.000,1.000,1.000,1.000,1.000
microdata,openai,gpt-5-mini,0.811,1.000,1.000,1.000,1.000,1.000,0.968
microdata,openai,gpt-5-mini,1.000,1.000,1.000,1.000,1.000,1.000,1.000
microdata,claude,claude-haiku-4-5,0.857,1.000,1.000,1.000,1.000,1.000,0.976
microdata,claude,claude-sonnet-4-5,1.000,1.000,0.909,1.000,1.000,1.000,0.985
microdata,gemini,gemini-2.5-flash,0.857,1.000,0.909,1.000,1.000,1.000,0.961
microdata,gemini,gemini-2.5-flash,0.750,1.000,1.000,1.000,1.000,1.000,0.958
microdata,gemini,gemini-2.5-pro,0.857,1.000,1.000,1.000,1.000,1.000,0.976
microdata,gemini,gemini-2.5-pro,1.000,1.000,1.000,1.000,1.000,1.000,1.000
combined,openai,gpt-4.1,0.857,0.968,1.000,1.000,1.000,1.000,0.971
combined,openai,gpt-4.1-mini,1.000,1.000,1.000,0.974,1.000,1.000,0.996
combined,openai,gpt-5,0.968,0.857,1.000,1.000,1.000,1.000,0.971
combined,openai,gpt-5,1.000,0.909,1.000,1.000,1.000,1.000,0.985
combined,openai,gpt-5-mini,1.000,0.938,1.000,1.000,1.000,1.000,0.990
combined,openai,gpt-5-mini,1.000,1.000,1.000,1.000,1.000,1.000,1.000
combined,claude,claude-haiku-4-5,1.000,1.000,1.000,1.000,1.000,1.000,1.000
combined,claude,claude-sonnet-4-5,1.000,1.000,0.909,1.000,1.000,1.000,0.985
